,N,0 Animal,1-15 Animal,15+ Animal,
Total,     3582.00,       91.16,        8.09,        0.75,
Urban,     3439.00,       91.30,        7.92,        0.79,
Rural,      143.00,       88.04,       11.96,        0.00,
Poorest,      608.00,       90.47,        8.81,        0.71,
Second,      697.00,       91.52,        6.76,        1.72,
Middle,      802.00,       91.20,        8.52,        0.27,
Fourth,      704.00,       93.07,        6.93,        0.00,
Wealthiest,      752.00,       89.54,        9.34,        1.12,
Natural,       32.00,       97.18,        2.82,        0.00,
Rudimentary/Completed,     3535.00,       91.07,        8.17,        0.76,
HH 1_2,      513.00,       92.13,        7.09,        0.77,
HH 3_5,     1928.00,       90.11,        9.14,        0.75,
HH 6_8,     1103.00,      100.00,        0.00,        0.00,
HH 9+,       38.00,        0.00,        0.00,        0.00,


